,Date,Regions,Internal Displced People
390,2021-12-01,Centre,1051
391,2021-12-01,Centre-Est,34805
392,2021-12-01,Centre-Nord,566132
393,2021-12-01,Centre-Ouest,20960
394,2021-12-01,Centre-Sud,4429
395,2021-12-01,Est,147990
396,2021-12-01,Hauts-Bassins,24825
397,2021-12-01,Nord,166367
398,2021-12-01,Plateau Central,12588
399,2021-12-01,Sahel,512916
400,2021-12-01,Sud-Ouest,20066
401,2022-01-01,Boucle du Mouhoun,57516
402,2022-01-01,Cascades,19133
403,2022-01-01,Centre,100
404,2022-01-01,Centre-Est,38999
405,2022-01-01,Centre-Nord,626602
406,2022-01-01,Centre-Ouest,20960
407,2022-01-01,Centre-Sud,4429
408,2022-01-01,Est,151706
409,2022-01-01,Hauts-Bassins,32035
410,2022-01-01,Nord,207096
411,2022-01-01,Plateau Central,16628
412,2022-01-01,Sahel,546385
413,2022-01-01,Sud-Ouest,20066
414,2022-02-01,Boucle du Mouhoun,62669
415,2022-02-01,Cascades,19456
416,2022-02-01,Centre,1051
417,2022-02-01,Centre-Est,38999
418,2022-02-01,Centre-Nord,652159
419,2022-02-01,Centre-Ouest,20960
420,2022-02-01,Centre-Sud,4429
421,2022-02-01,Est,156485
422,2022-02-01,Hauts-Bassins,33062
423,2022-02-01,Nord,212434
424,2022-02-01,Plateau Central,16643
425,2022-02-01,Sahel,575870
426,2022-02-01,Sud-Ouest,20066
427,2022-03-01,Boucle du Mouhoun,77001
428,2022-03-01,Cascades,20291
429,2022-03-01,Centre,1051
430,2022-03-01,Centre-Est,43383
431,2022-03-01,Centre-Nord,655891
432,2022-03-01,Centre-Ouest,20960
433,2022-03-01,Centre-Sud,4429
434,2022-03-01,Est,162699
435,2022-03-01,Hauts-Bassins,38095
436,2022-03-01,Nord,218695
437,2022-03-01,Plateau Central,18139
438,2022-03-01,Sahel,568598
439,2022-03-01,Sud-Ouest,20066
440,2022-04-01,Boucle du Mouhoun,80938
441,2022-04-01,Cascades,20911
442,2022-04-01,Centre,6761
443,2022-04-01,Centre-Est,45156
444,2022-04-01,Centre-Nord,657041
445,2022-04-01,Centre-Ouest,30076
446,2022-04-01,Centre-Sud,5088
447,2022-04-01,Est,170416
448,2022-04-01,Hauts-Bassins,39367
449,2022-04-01,Nord,222169
450,2022-04-01,Plateau Central,20307
451,2022-04-01,Sahel,574096
452,2022-04-01,Sud-Ouest,29824
453,2022-04-01,Boucle du Mouhoun,72961
454,2022-04-01,Cascades,13878
455,2022-04-01,Centre,6761
456,2022-04-01,Centre-Est,44862
457,2022-04-01,Centre-Nord,456198
458,2022-04-01,Centre-Ouest,30076
459,2022-04-01,Centre-Sud,5088
460,2022-04-01,Est,162210
461,2022-04-01,Hauts-Bassins,36835
462,2022-04-01,Nord,203814
463,2022-04-01,Plateau Central,20001
464,2022-04-01,Sahel,437504
465,2022-04-01,Sud-Ouest,29824
466,2022-09-01,Boucle du Mouhoun,83483
467,2022-09-01,Cascades,16562
468,2022-09-01,Centre,9875
469,2022-09-01,Centre-Est,53257
470,2022-09-01,Centre-Nord,468343
471,2022-09-01,Centre-Ouest,30076
472,2022-09-01,Centre-Sud,5740
473,2022-09-01,Est,191623
474,2022-09-01,Hauts-Bassins,49660
475,2022-09-01,Nord,249292
476,2022-09-01,Plateau Central,31654
477,2022-09-01,Sahel,480870
478,2022-09-01,Sud-Ouest,48897
479,2022-10-01,Boucle du Mouhoun,84948
480,2022-10-01,Cascades,17037
481,2022-10-01,Centre,9875
482,2022-10-01,Centre-Est,53833
483,2022-10-01,Centre-Nord,468482
484,2022-10-01,Centre-Ouest,39401
485,2022-10-01,Centre-Sud,8528
486,2022-10-01,Est,195005
487,2022-10-01,Hauts-Bassins,51148
488,2022-10-01,Nord,249564
489,2022-10-01,Plateau Central,35399
490,2022-10-01,Sahel,496804
491,2022-10-01,Sud-Ouest,51891
