,Date,Region,PDI
366,2021-10,Centre-Est,33815.0
367,2021-10,Centre-Nord,510110.0
368,2021-10,Centre-Ouest,20960.0
369,2021-10,Centre-Sud,4359.0
370,2021-10,Est,146960.0
371,2021-10,Hauts-Bassins,23943.0
372,2021-10,Nord,142107.0
373,2021-10,Plateau Central,11851.0
374,2021-10,Sahel,510279.0
375,2021-10,Sud-Ouest,13067.0
376,2021-11,Boucle du Mouhoun,50042.0
377,2021-11,Cascades,15626.0
378,2021-11,Centre,1051.0
379,2021-11,Centre-Est,34766.0
380,2021-11,Centre-Nord,518947.0
381,2021-11,Centre-Ouest,20960.0
382,2021-11,Centre-Sud,4359.0
383,2021-11,Est,148191.0
384,2021-11,Hauts-Bassins,24739.0
385,2021-11,Nord,143544.0
386,2021-11,Plateau Central,12577.0
387,2021-11,Sahel,510279.0
388,2021-11,Sud-Ouest,16694.0
389,2021-12,Boucle du Mouhoun,50054.0
390,2021-12,Cascades,17793.0
391,2021-12,Centre,1051.0
392,2021-12,Centre-Est,34805.0
393,2021-12,Centre-Nord,566132.0
394,2021-12,Centre-Ouest,20960.0
395,2021-12,Centre-Sud,4429.0
396,2021-12,Est,147990.0
397,2021-12,Hauts-Bassins,24825.0
398,2021-12,Nord,166367.0
399,2021-12,Plateau Central,12588.0
400,2021-12,Sahel,512916.0
401,2021-12,Sud-Ouest,20066.0
402,2022-01,Boucle du Mouhoun,57516.0
403,2022-01,Cascades,19133.0
404,2022-01,Centre,100.0
405,2022-01,Centre-Est,38999.0
406,2022-01,Centre-Nord,626602.0
407,2022-01,Centre-Ouest,20960.0
408,2022-01,Centre-Sud,4429.0
409,2022-01,Est,151706.0
410,2022-01,Hauts-Bassins,32035.0
411,2022-01,Nord,207096.0
412,2022-01,Plateau Central,16628.0
413,2022-01,Sahel,546385.0
414,2022-01,Sud-Ouest,20066.0
415,2022-02,Boucle du Mouhoun,62669.0
416,2022-02,Cascades,19456.0
417,2022-02,Centre,1051.0
418,2022-02,Centre-Est,38999.0
419,2022-02,Centre-Nord,652159.0
420,2022-02,Centre-Ouest,20960.0
421,2022-02,Centre-Sud,4429.0
422,2022-02,Est,156485.0
423,2022-02,Hauts-Bassins,33062.0
424,2022-02,Nord,212434.0
425,2022-02,Plateau Central,16643.0
426,2022-02,Sahel,575870.0
427,2022-02,Sud-Ouest,20066.0
428,2022-03,Boucle du Mouhoun,77001.0
429,2022-03,Cascades,20291.0
430,2022-03,Centre,1051.0
431,2022-03,Centre-Est,43383.0
432,2022-03,Centre-Nord,655891.0
433,2022-03,Centre-Ouest,20960.0
434,2022-03,Centre-Sud,4429.0
435,2022-03,Est,162699.0
436,2022-03,Hauts-Bassins,38095.0
437,2022-03,Nord,218695.0
438,2022-03,Plateau Central,18139.0
439,2022-03,Sahel,568598.0
440,2022-03,Sud-Ouest,20066.0
441,2022-04,Boucle du Mouhoun,80938.0
442,2022-04,Cascades,20911.0
443,2022-04,Centre,6761.0
444,2022-04,Centre-Est,45156.0
445,2022-04,Centre-Nord,657041.0
446,2022-04,Centre-Ouest,30076.0
447,2022-04,Centre-Sud,5088.0
448,2022-04,Est,170416.0
449,2022-04,Hauts-Bassins,39367.0
450,2022-04,Nord,222169.0
451,2022-04,Plateau Central,20307.0
452,2022-04,Sahel,574096.0
453,2022-04,Sud-Ouest,29824.0
454,2022-04,Boucle du Mouhoun,72961.0
455,2022-04,Cascades,13878.0
456,2022-04,Centre,6761.0
457,2022-04,Centre-Est,44862.0
458,2022-04,Centre-Nord,456198.0
459,2022-04,Centre-Ouest,30076.0
460,2022-04,Centre-Sud,5088.0
461,2022-04,Est,162210.0
462,2022-04,Hauts-Bassins,36835.0
463,2022-04,Nord,203814.0
464,2022-04,Plateau Central,20001.0
465,2022-04,Sahel,437504.0
466,2022-04,Sud-Ouest,29824.0
467,2022-09,Boucle du Mouhoun,83483.0
468,2022-09,Cascades,16562.0
469,2022-09,Centre,9875.0
470,2022-09,Centre-Est,53257.0
471,2022-09,Centre-Nord,468343.0
472,2022-09,Centre-Ouest,30076.0
473,2022-09,Centre-Sud,5740.0
474,2022-09,Est,191623.0
475,2022-09,Hauts-Bassins,49660.0
476,2022-09,Nord,249292.0
477,2022-09,Plateau Central,31654.0
478,2022-09,Sahel,480870.0
479,2022-09,Sud-Ouest,48897.0
480,2022-10,Boucle du Mouhoun,84948.0
481,2022-10,Cascades,17037.0
482,2022-10,Centre,9875.0
483,2022-10,Centre-Est,53833.0
484,2022-10,Centre-Nord,468482.0
485,2022-10,Centre-Ouest,39401.0
486,2022-10,Centre-Sud,8528.0
487,2022-10,Est,195005.0
488,2022-10,Hauts-Bassins,51148.0
489,2022-10,Nord,249564.0
490,2022-10,Plateau Central,35399.0
491,2022-10,Sahel,496804.0
492,2022-10,Sud-Ouest,51891.0
