,Location,Date,Precipitation(mm)
606,Dori,2010-07-01,134.5
607,Dori,2010-08-01,135.8
608,Dori,2010-09-01,84.2
609,Dori,2010-10-01,59.4
610,Dori,2010-11-01,0.1
611,Dori,2010-12-01,0.0
612,Dori,2011-01-01,0.0
613,Dori,2011-02-01,0.0
614,Dori,2011-03-01,0.0
615,Dori,2011-04-01,0.0
616,Dori,2011-05-01,0.2
617,Dori,2011-06-01,41.6
618,Dori,2011-07-01,148.0
619,Dori,2011-08-01,208.6
620,Dori,2011-09-01,129.0
621,Dori,2011-10-01,0.3
622,Dori,2011-11-01,0.0
623,Dori,2011-12-01,0.0
624,Dori,2012-01-01,0.0
625,Dori,2012-02-01,0.4
626,Dori,2012-03-01,0.0
627,Dori,2012-04-01,8.0
628,Dori,2012-05-01,6.6
629,Dori,2012-06-01,71.9
630,Dori,2012-07-01,159.5
631,Dori,2012-08-01,271.9
632,Dori,2012-09-01,95.6
633,Dori,2012-10-01,10.0
634,Dori,2012-11-01,0.0
635,Dori,2012-12-01,0.0
636,Dori,2013-01-01,0.0
637,Dori,2013-02-01,0.0
638,Dori,2013-03-01,0.0
639,Dori,2013-04-01,90.3
640,Dori,2013-05-01,22.9
641,Dori,2013-06-01,43.9
642,Dori,2013-07-01,101.8
643,Dori,2013-08-01,249.5
